village,adjmatrix_key,HHnum_in_village,hhid,hohreligion,castesubcaste,rooftype1,rooftype2,rooftype3,rooftype4,rooftype5,rooftypeoth,room_no,bed_no,electricity,latrine,ownrent,hhSurveyed,leader
35,1,1,35001,1,GENERAL,0,0,1,0,0,,2,1,2,3,6,1,0
35,2,2,35002,1,SCHEDULE CASTE,0,0,0,1,0,,2,0,2,3,6,1,0
35,3,3,35003,1,GENERAL,0,0,1,0,0,,2,1,2,3,6,0,0
35,4,4,35004,1,OBC,0,0,0,0,1,,2,0,3,3,3,0,0
35,5,5,35005,1,SCHEDULE CASTE,0,0,1,0,0,,2,1,2,3,3,0,0
35,6,6,35006,1,OBC,0,0,0,0,1,,2,1,1,3,3,0,0
35,7,7,35007,1,SCHEDULE TRIBE,0,0,0,0,1,,2,0,1,3,3,1,0
35,8,8,35008,1,OBC,0,0,0,0,1,,2,0,1,3,3,1,0
35,9,9,35009,1,SCHEDULE TRIBE,0,0,0,0,1,,2,0,1,1,3,0,0
35,10,10,35010,1,OBC,0,0,0,0,1,,3,1,1,1,1,1,0
35,11,11,35011,1,GENERAL,0,0,0,0,1,,4,1,1,1,3,1,0
35,12,12,35012,1,GENERAL,0,0,0,0,1,,3,1,1,1,3,0,0
35,13,13,35013,1,SCHEDULE CASTE,0,0,0,1,0,,2,1,2,3,3,0,0
35,14,14,35014,1,GENERAL,0,0,1,0,0,,3,1,1,3,1,1,0
35,15,15,35015,2,MINORITY,0,0,0,0,1,,4,2,1,1,1,1,0
35,16,16,35016,2,MINORITY,0,0,0,0,1,,3,1,1,1,1,1,0
35,17,17,35017,1,SCHEDULE TRIBE,0,0,0,0,1,,2,0,1,3,1,1,1
35,18,18,35018,2,MINORITY,0,0,0,0,1,,3,0,1,1,1,1,0
35,19,19,35019,1,OBC,0,0,0,0,1,,2,1,1,1,1,0,1
35,20,20,35020,1,OBC,0,0,0,0,1,,3,0,1,1,3,0,0
35,21,21,35021,2,MINORITY,0,0,1,0,0,,1,1,1,3,3,0,0
35,22,22,35022,1,OBC,0,0,1,0,0,,2,1,1,3,1,0,0
35,23,23,35023,1,OBC,0,0,0,0,1,,7,0,1,1,1,1,0
35,24,24,35024,1,OBC,0,0,1,0,0,,2,1,1,1,1,0,0
35,25,25,35025,1,OBC,0,0,0,0,1,,2,1,2,3,1,1,0
35,26,26,35026,1,OBC,0,0,0,0,1,,2,1,1,3,3,1,1
35,27,27,35027,1,SCHEDULE TRIBE,0,0,0,0,1,,2,1,2,3,1,0,1
35,28,28,35028,2,MINORITY,0,0,0,1,0,,4,2,2,3,5,0,0
35,29,29,35029,1,OBC,0,0,0,0,1,,2,1,1,1,3,1,0
35,30,30,35030,2,MINORITY,0,0,0,0,1,,2,1,1,1,1,0,0
35,31,31,35031,2,MINORITY,0,0,0,0,1,,5,1,1,3,2,1,0
35,32,32,35032,2,MINORITY,0,0,0,0,1,,2,0,1,3,2,0,0
35,33,33,35033,1,OBC,0,0,0,0,1,,2,0,2,3,1,0,0
35,34,34,35034,1,OBC,1,0,0,0,0,,1,0,2,3,1,0,0
35,35,35,35035,2,MINORITY,0,0,0,0,1,,2,1,1,1,1,0,0
35,36,36,35036,2,MINORITY,0,0,0,0,1,,4,2,1,1,1,1,0
35,37,37,35037,1,SCHEDULE CASTE,0,0,1,0,0,,3,1,1,3,3,1,0
35,38,38,35038,1,OBC,0,0,1,0,0,,2,1,1,3,2,0,0
35,39,39,35039,2,MINORITY,0,0,0,1,0,,2,1,1,3,1,0,0
35,40,40,35040,1,OBC,0,0,0,1,0,,2,1,1,3,1,1,0
35,41,41,35041,1,OBC,0,0,0,0,1,,3,1,1,1,1,0,0
35,42,42,35042,1,SCHEDULE CASTE,0,1,0,0,0,,5,1,1,1,4,0,0
35,43,43,35043,2,MINORITY,0,0,0,1,0,,2,0,2,3,1,1,0
35,44,44,35044,2,MINORITY,0,0,0,1,0,,3,1,2,3,5,1,0
35,45,45,35045,2,MINORITY,0,0,0,0,1,,5,1,1,3,2,1,1
35,46,46,35046,2,MINORITY,0,0,1,0,0,,3,1,1,3,1,0,0
35,47,47,35047,1,GENERAL,0,0,1,0,0,,2,0,1,3,1,0,1
35,48,48,35048,1,GENERAL,0,0,1,0,0,,2,0,1,3,1,1,0
35,49,49,35049,1,OBC,0,0,1,0,0,,2,0,1,1,0,1,0
35,50,50,35050,1,GENERAL,0,0,0,1,0,,2,0,1,3,1,0,0
35,51,51,35051,1,GENERAL,0,0,0,1,0,,2,0,1,3,1,0,0
35,52,52,35052,1,GENERAL,0,0,0,1,0,,2,0,2,1,1,1,0
35,53,53,35053,1,OBC,0,0,0,1,0,,3,1,2,3,5,0,0
35,54,54,35054,2,MINORITY,0,0,0,1,0,,3,0,1,1,3,1,0
35,55,55,35055,1,SCHEDULE TRIBE,0,0,0,1,0,,2,0,1,1,3,1,0
35,56,56,35056,1,OBC,0,0,1,0,0,,3,1,1,3,2,0,0
35,57,57,35057,1,OBC,0,0,1,0,0,,3,1,1,3,2,1,1
35,58,58,35058,2,MINORITY,0,1,0,0,0,,2,1,1,3,1,0,0
35,59,59,35059,1,OBC,0,0,0,0,1,,3,1,2,3,1,0,0
35,60,60,35060,1,OBC,0,0,0,0,1,,2,0,2,3,1,0,0
35,61,61,35061,1,OBC,0,0,0,0,1,,2,0,2,3,1,0,0
35,62,62,35062,1,OBC,0,0,0,1,0,,2,1,1,3,3,1,0
35,63,63,35063,2,MINORITY,0,0,0,1,0,,3,1,1,3,1,0,0
35,64,64,35064,1,OBC,0,0,0,1,0,,2,1,2,3,1,0,0
35,65,65,35065,2,MINORITY,0,0,0,0,1,,2,1,1,3,1,1,0
35,66,66,35066,1,SCHEDULE TRIBE,0,0,1,0,0,,2,0,2,3,1,0,0
35,67,67,35067,2,MINORITY,0,0,0,0,1,,3,1,1,1,1,0,0
35,68,68,35068,1,OBC,0,0,0,0,1,,2,0,1,3,3,1,0
35,69,69,35069,1,SCHEDULE CASTE,0,0,0,0,1,,1,1,1,3,1,1,0
